date,state,sex,ethnicity,age,population
1/1/2020,Melaka,male,bumi_malay,45-49,13.5
1/1/2020,Melaka,male,bumi_malay,50-54,12.3
1/1/2020,Melaka,male,bumi_malay,55-59,12.6
1/1/2020,Melaka,male,bumi_malay,60-64,9.9
1/1/2020,Melaka,male,bumi_malay,65-69,7.1
1/1/2020,Melaka,male,bumi_malay,70-74,4.4
1/1/2020,Melaka,male,bumi_malay,75-79,2.1
1/1/2020,Melaka,male,bumi_malay,80-84,1.1
1/1/2020,Melaka,male,bumi_malay,85+,0.6
1/1/2020,Melaka,female,bumi_malay,15-19,36.4
1/1/2020,Melaka,female,bumi_malay,20-24,31.7
1/1/2020,Melaka,female,bumi_malay,25-29,27.4
1/1/2020,Melaka,female,bumi_malay,30-34,23.8
1/1/2020,Melaka,female,bumi_malay,35-39,22.8
1/1/2020,Melaka,female,bumi_malay,40-44,26.1
1/1/2020,Melaka,female,bumi_malay,45-49,14.5
1/1/2020,Melaka,female,bumi_malay,50-54,13.2
1/1/2020,Melaka,female,bumi_malay,55-59,13.2
1/1/2020,Melaka,female,bumi_malay,60-64,10.4
1/1/2020,Melaka,female,bumi_malay,65-69,8.3
1/1/2020,Melaka,female,bumi_malay,70-74,4.9
1/1/2020,Melaka,female,bumi_malay,75-79,2.5
1/1/2020,Melaka,female,bumi_malay,80-84,1.7
1/1/2020,Melaka,female,bumi_malay,85+,0.9
1/1/2020,Negeri Sembilan,male,bumi_malay,15-19,32.4
1/1/2020,Negeri Sembilan,male,bumi_malay,20-24,29.8
1/1/2020,Negeri Sembilan,male,bumi_malay,25-29,28.6
1/1/2020,Negeri Sembilan,male,bumi_malay,30-34,30.7
1/1/2020,Negeri Sembilan,male,bumi_malay,35-39,28.7
1/1/2020,Negeri Sembilan,male,bumi_malay,40-44,20.9
1/1/2020,Negeri Sembilan,male,bumi_malay,45-49,17.5
1/1/2020,Negeri Sembilan,male,bumi_malay,50-54,14.2
1/1/2020,Negeri Sembilan,male,bumi_malay,55-59,17
1/1/2020,Negeri Sembilan,male,bumi_malay,60-64,12.1
1/1/2020,Negeri Sembilan,male,bumi_malay,65-69,9.9
1/1/2020,Negeri Sembilan,male,bumi_malay,70-74,5.4
1/1/2020,Negeri Sembilan,male,bumi_malay,75-79,2.3
1/1/2020,Negeri Sembilan,male,bumi_malay,80-84,1.2
1/1/2020,Negeri Sembilan,male,bumi_malay,85+,0.5
1/1/2020,Negeri Sembilan,female,bumi_malay,15-19,30.3
1/1/2020,Negeri Sembilan,female,bumi_malay,20-24,31.4
1/1/2020,Negeri Sembilan,female,bumi_malay,25-29,27.9
1/1/2020,Negeri Sembilan,female,bumi_malay,30-34,29.9
1/1/2020,Negeri Sembilan,female,bumi_malay,35-39,27.3
1/1/2020,Negeri Sembilan,female,bumi_malay,40-44,20.8
1/1/2020,Negeri Sembilan,female,bumi_malay,45-49,16.9
1/1/2020,Negeri Sembilan,female,bumi_malay,50-54,15.7
1/1/2020,Negeri Sembilan,female,bumi_malay,55-59,17.6
